JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2451354.337500000, A.D. 1999-Jun-24 20:06:00.0000, -3.994171955121915E-01, -6.108835158862168E-01,  1.448519982251580E-02,  1.688184946487578E-02, -1.102980298257638E-02, -1.124888057873879E-03,  4.216217731697483E-03,  7.300154704293794E-01, -2.913687716082125E-05,
2451354.338888889, A.D. 1999-Jun-24 20:08:00.0000, -3.993937482054174E-01, -6.108988345997438E-01,  1.448363746729038E-02,  1.688227228558599E-02, -1.102914449366226E-02, -1.124903466398581E-03,  4.216217497948030E-03,  7.300154299569164E-01, -2.914346967767515E-05,
2451354.340277778, A.D. 1999-Jun-24 20:10:00.0000, -3.993703003114101E-01, -6.109141523986917E-01,  1.448207509066546E-02,  1.688269508065422E-02, -1.102848598871503E-02, -1.124918873224107E-03,  4.216217264145694E-03,  7.300153894752970E-01, -2.915006216291319E-05,
2451354.341666667, A.D. 1999-Jun-24 20:12:00.0000, -3.993468518302052E-01, -6.109294692830383E-01,  1.448051269264337E-02,  1.688311785007986E-02, -1.102782746773568E-02, -1.124934278350441E-03,  4.216217030290479E-03,  7.300153489845213E-01, -2.915665461652583E-05,
2451354.343055556, A.D. 1999-Jun-24 20:14:00.0000, -3.993234027618384E-01, -6.109447852527613E-01,  1.447895027322645E-02,  1.688354059386232E-02, -1.102716893072523E-02, -1.124949681777559E-03,  4.216216796382380E-03,  7.300153084845897E-01, -2.916324703849512E-05,
2451354.344444444, A.D. 1999-Jun-24 20:16:00.0000, -3.992999531063452E-01, -6.109601003078384E-01,  1.447738783241697E-02,  1.688396331200101E-02, -1.102651037768468E-02, -1.124965083505446E-03,  4.216216562421402E-03,  7.300152679755018E-01, -2.916983942882812E-05,
2451354.345833333, A.D. 1999-Jun-24 20:18:00.0000, -3.992765028637614E-01, -6.109754144482474E-01,  1.447582537021745E-02,  1.688438600449534E-02, -1.102585180861504E-02, -1.124980483534076E-03,  4.216216328407541E-03,  7.300152274572580E-01, -2.917643178750709E-05,
2451354.347222222, A.D. 1999-Jun-24 20:20:00.0000, -3.992530520341224E-01, -6.109907276739661E-01,  1.447426288663015E-02,  1.688480867134472E-02, -1.102519322351731E-02, -1.124995881863434E-03,  4.216216094340800E-03,  7.300151869298581E-01, -2.918302411452482E-05,
2451354.348611111, A.D. 1999-Jun-24 20:22:00.0000, -3.992296006174639E-01, -6.110060399849720E-01,  1.447270038165751E-02,  1.688523131254855E-02, -1.102453462239250E-02, -1.125011278493493E-03,  4.216215860221179E-03,  7.300151463933022E-01, -2.918961640986820E-05,
2451354.350000000, A.D. 1999-Jun-24 20:24:00.0000, -3.992061486138216E-01, -6.110213513812431E-01,  1.447113785530182E-02,  1.688565392810625E-02, -1.102387600524162E-02, -1.125026673424239E-03,  4.216215626048674E-03,  7.300151058475902E-01, -2.919620867353960E-05,
2451354.351388889, A.D. 1999-Jun-24 20:26:00.0000, -3.991826960232310E-01, -6.110366618627568E-01,  1.446957530756542E-02,  1.688607651801722E-02, -1.102321737206568E-02, -1.125042066655648E-03,  4.216215391823294E-03,  7.300150652927223E-01, -2.920280090551984E-05,
2451354.352777778, A.D. 1999-Jun-24 20:28:00.0000, -3.991592428457279E-01, -6.110519714294914E-01,  1.446801273845074E-02,  1.688649908228087E-02, -1.102255872286569E-02, -1.125057458187701E-03,  4.216215157545031E-03,  7.300150247286987E-01, -2.920939310580547E-05,
2451354.354166667, A.D. 1999-Jun-24 20:30:00.0000, -3.991357890813477E-01, -6.110672800814242E-01,  1.446645014796016E-02,  1.688692162089661E-02, -1.102190005764264E-02, -1.125072848020379E-03,  4.216214923213889E-03,  7.300149841555194E-01, -2.921598527438935E-05,
2451354.355555556, A.D. 1999-Jun-24 20:32:00.0000, -3.991123347301262E-01, -6.110825878185331E-01,  1.446488753609596E-02,  1.688734413386385E-02, -1.102124137639755E-02, -1.125088236153658E-03,  4.216214688829869E-03,  7.300149435731842E-01, -2.922257741125469E-05,
2451354.356944445, A.D. 1999-Jun-24 20:34:00.0000, -3.990888797920989E-01, -6.110978946407957E-01,  1.446332490286055E-02,  1.688776662118199E-02, -1.102058267913143E-02, -1.125103622587519E-03,  4.216214454392969E-03,  7.300149029816934E-01, -2.922916951640506E-05,
